Timestamp,Relative Time (s),pH Value,pH Temperature (C),Conductivity Value,Conductivity Temperature (C)
2024-10-31 17:00:58,1.94638,7.253,19.4,0.00,19.4
2024-10-31 17:01:08,11.97001,7.239,19.4,0.00,19.4
2024-10-31 17:01:18,21.96507,7.237,19.4,0.00,19.4
2024-10-31 17:01:28,31.97876,7.236,19.4,0.00,19.4
2024-10-31 17:01:38,41.99555,7.234,19.4,0.00,19.4
2024-10-31 17:01:47,50.88297,7.234,19.4,0.00,19.4
2024-10-31 17:01:58,62.00455,7.234,19.4,0.00,19.4
2024-10-31 17:02:08,72.00495,7.233,19.4,0.00,19.4
2024-10-31 17:02:18,82.01582,7.234,19.4,0.00,19.4
2024-10-31 17:02:28,92.01591,7.236,19.4,0.00,19.4
2024-10-31 17:02:38,102.03366,7.238,19.4,0.00,19.4
2024-10-31 17:02:48,112.17624,7.237,19.4,0.00,19.4
2024-10-31 17:02:58,122.05703,7.238,19.4,0.00,19.4
2024-10-31 17:03:08,132.06038,7.241,19.4,0.00,19.4
2024-10-31 17:03:18,142.06607,7.235,19.4,0.00,19.4
2024-10-31 17:03:27,150.9551,7.235,19.4,0.00,19.4
2024-10-31 17:03:38,162.12814,7.234,19.4,0.00,19.4
2024-10-31 17:03:48,172.08594,7.233,19.4,0.00,19.4
2024-10-31 17:03:58,182.09707,7.231,19.4,0.00,19.4
2024-10-31 17:04:07,190.99233,7.231,19.4,0.00,19.4
2024-10-31 17:04:18,202.11135,7.229,19.4,0.00,19.4
2024-10-31 17:04:28,212.12443,7.227,19.4,0.00,19.4
2024-10-31 17:04:38,222.13127,7.225,19.4,0.00,19.4
2024-10-31 17:04:48,232.12795,7.225,19.4,0.00,19.4
2024-10-31 17:04:58,242.14159,7.224,19.4,0.00,19.4
2024-10-31 17:05:08,252.14279,7.221,19.4,0.00,19.4
2024-10-31 17:05:18,262.25116,7.220,19.4,0.00,19.4
2024-10-31 17:05:28,272.16099,7.219,19.4,0.00,19.4
2024-10-31 17:05:38,282.16087,7.217,19.4,0.00,19.4
2024-10-31 17:05:47,291.05863,7.216,19.4,0.00,19.4
2024-10-31 17:05:58,302.1807,7.213,19.4,0.00,19.4
2024-10-31 17:06:08,312.18524,7.212,19.4,0.00,19.4
2024-10-31 17:06:17,321.06168,7.210,19.4,0.00,19.4
2024-10-31 17:06:28,332.18943,7.210,19.4,0.00,19.4
2024-10-31 17:06:38,342.20885,7.208,19.4,0.00,19.4
2024-10-31 17:06:48,352.21161,7.207,19.4,0.00,19.4
2024-10-31 17:06:58,362.22696,7.207,19.4,0.00,19.4
2024-10-31 17:07:08,372.23693,7.205,19.4,0.00,19.4
2024-10-31 17:07:18,382.23499,7.205,19.4,0.00,19.4
2024-10-31 17:07:28,392.23285,7.210,19.4,0.00,19.4
2024-10-31 17:07:38,402.25908,7.212,19.4,0.00,19.4
2024-10-31 17:07:47,411.15352,7.212,19.4,0.00,19.4
2024-10-31 17:07:58,422.27787,7.209,19.4,0.00,19.4
2024-10-31 17:08:08,432.2767,7.209,19.4,0.00,19.4
2024-10-31 17:08:18,442.27891,7.209,19.4,0.00,19.4
2024-10-31 17:08:38,462.31352,7.207,19.4,0.00,19.4
2024-10-31 17:08:48,472.33455,7.207,19.4,0.00,19.4
2024-10-31 17:09:08,492.3424,7.205,19.3,0.00,19.3
2024-10-31 17:09:28,512.36647,7.206,19.3,0.00,19.3
2024-10-31 17:09:38,522.37227,7.205,19.4,0.00,19.4
2024-10-31 17:09:48,532.37062,7.205,19.4,0.00,19.4
2024-10-31 17:09:58,542.3898,7.205,19.3,0.00,19.3
2024-10-31 17:10:08,552.4053,7.204,19.3,0.00,19.3
2024-10-31 17:10:18,562.39307,7.203,19.3,0.00,19.3
2024-10-31 17:10:28,572.42719,7.203,19.3,0.00,19.3
2024-10-31 17:10:38,582.43335,7.201,19.3,0.00,19.3
2024-10-31 17:10:48,592.42574,7.203,19.3,0.00,19.3
2024-10-31 17:10:58,602.44036,7.209,19.3,0.00,19.3
2024-10-31 17:11:18,622.45019,7.214,19.3,0.00,19.3
2024-10-31 17:11:38,642.50571,7.209,19.3,0.00,19.3
2024-10-31 17:11:48,652.46164,7.207,19.3,0.00,19.3
2024-10-31 17:11:58,662.46437,7.207,19.3,0.00,19.3
2024-10-31 17:12:08,672.48035,7.206,19.3,0.00,19.3
2024-10-31 17:12:18,682.47354,7.206,19.3,0.00,19.3
2024-10-31 17:12:28,692.49166,7.205,19.3,0.00,19.3
2024-10-31 17:12:38,702.49994,7.205,19.3,0.00,19.3
2024-10-31 17:12:48,712.50141,7.203,19.3,0.00,19.3
2024-10-31 17:12:58,722.50345,7.203,19.3,0.00,19.3
2024-10-31 17:13:08,732.51333,7.203,19.3,0.00,19.3
2024-10-31 17:13:18,742.52978,7.202,19.3,0.00,19.3
2024-10-31 17:13:28,752.53746,7.201,19.3,0.00,19.3
2024-10-31 17:13:38,762.54887,7.227,19.3,0.00,19.3
2024-10-31 17:13:48,772.5553,7.219,19.3,0.00,19.3
2024-10-31 17:14:08,792.5573,7.211,19.3,0.00,19.3
2024-10-31 17:14:17,801.4383,7.210,19.3,0.00,19.3
2024-10-31 17:14:38,822.59572,7.209,19.3,0.00,19.3
2024-10-31 17:14:48,832.61484,7.209,19.3,0.00,19.3
2024-10-31 17:14:58,842.61486,7.209,19.3,0.00,19.3
2024-10-31 17:15:08,852.62279,7.209,19.3,0.00,19.3
2024-10-31 17:15:18,862.6228,7.209,19.3,0.00,19.3
2024-10-31 17:15:28,872.63927,7.208,19.3,0.00,19.3
2024-10-31 17:15:38,882.64263,7.207,19.4,0.00,19.4
2024-10-31 17:15:48,892.65064,7.207,19.4,0.00,19.4
2024-10-31 17:15:57,901.55172,7.207,19.4,0.00,19.4
2024-10-31 17:16:08,912.67581,7.206,19.4,0.00,19.4
2024-10-31 17:16:18,922.67908,7.205,19.3,0.00,19.3
2024-10-31 17:16:28,932.69203,7.216,19.3,0.00,19.3
