Timestamp,Relative Time (s),pH Value,pH Temperature (C),Conductivity Value,Conductivity Temperature (C)
2024-10-30 17:24:11,1.96135,7.575,19.3,0.00,19.3
2024-10-30 17:24:19,10.8557,7.572,19.3,0.00,19.3
2024-10-30 17:24:31,21.98221,7.569,19.3,0.00,19.3
2024-10-30 17:24:41,31.98463,7.566,19.3,0.00,19.3
2024-10-30 17:24:51,42.00349,7.564,19.3,0.00,19.3
2024-10-30 17:25:01,52.01129,7.562,19.3,0.00,19.3
2024-10-30 17:25:11,62.02741,7.560,19.3,0.00,19.3
2024-10-30 17:25:21,72.04017,7.558,19.3,0.00,19.3
2024-10-30 17:25:31,82.05443,7.555,19.3,0.00,19.3
2024-10-30 17:25:41,92.06428,7.554,19.3,0.00,19.3
2024-10-30 17:25:51,102.07344,7.551,19.3,0.00,19.3
2024-10-30 17:26:01,112.08855,7.548,19.3,0.00,19.3
2024-10-30 17:26:11,122.09666,7.546,19.3,0.00,19.3
2024-10-30 17:26:21,132.0996,7.544,19.3,0.00,19.3
2024-10-30 17:26:31,142.11823,7.543,19.3,0.00,19.3
2024-10-30 17:26:41,152.1292,7.541,19.3,0.00,19.3
2024-10-30 17:26:51,162.14166,7.539,19.3,0.00,19.3
2024-10-30 17:27:01,172.1541,7.537,19.3,0.00,19.3
2024-10-30 17:27:11,182.1713,7.535,19.3,0.00,19.3
2024-10-30 17:27:21,192.18085,7.534,19.3,0.00,19.3
2024-10-30 17:27:31,202.18663,7.532,19.3,0.00,19.3
2024-10-30 17:27:41,212.20816,7.530,19.3,0.00,19.3
2024-10-30 17:27:51,222.2044,7.528,19.3,0.00,19.3
2024-10-30 17:28:01,232.22344,7.527,19.3,0.00,19.3
2024-10-30 17:28:11,242.21969,7.539,19.3,0.00,19.3
2024-10-30 17:28:21,252.23568,7.544,19.3,0.00,19.3
2024-10-30 17:28:31,262.24327,7.545,19.3,0.00,19.3
2024-10-30 17:28:40,271.14089,7.545,19.3,0.00,19.3
