Timestamp,Relative Time (s),pH Value,pH Temperature (C),Conductivity Value,Conductivity Temperature (C)
2024-10-31 09:11:20,1.95167,7.165,19.2,0.00,19.2
2024-10-31 09:11:30,11.97717,7.160,19.2,0.00,19.2
2024-10-31 09:11:40,21.9657,7.155,19.2,0.00,19.2
2024-10-31 09:11:50,31.99173,7.149,19.2,0.00,19.2
2024-10-31 09:12:00,41.99487,7.144,19.2,0.00,19.2
2024-10-31 09:12:10,52.01263,7.139,19.2,0.00,19.2
2024-10-31 09:12:20,62.01957,7.132,19.2,0.00,19.2
2024-10-31 09:12:30,72.03155,7.127,19.2,0.00,19.2
2024-10-31 09:12:40,82.28179,7.122,19.2,0.00,19.2
2024-10-31 09:13:00,102.0482,7.179,19.2,0.00,19.2
2024-10-31 09:13:10,112.06052,7.169,19.2,0.00,19.2
2024-10-31 09:13:30,132.06737,7.188,19.2,0.00,19.2
2024-10-31 09:13:40,142.07311,7.257,19.2,0.00,19.2
2024-10-31 09:13:50,152.07217,7.267,19.2,0.00,19.2
2024-10-31 09:14:00,162.0757,7.342,19.2,0.00,19.2
2024-10-31 09:14:10,172.39244,7.384,19.2,0.00,19.2
2024-10-31 09:14:20,182.09482,7.508,19.2,0.00,19.2
2024-10-31 09:14:40,202.1094,8.021,19.2,0.00,19.2
2024-10-31 09:14:50,212.38584,7.746,19.2,0.00,19.2
2024-10-31 09:15:10,232.15236,7.912,19.2,0.00,19.2
2024-10-31 09:15:20,242.16944,7.910,19.2,0.00,19.2
2024-10-31 09:15:30,252.16457,7.855,19.2,0.00,19.2
2024-10-31 09:15:40,262.17697,9.838,19.2,0.00,19.2
2024-10-31 09:15:50,272.18029,10.481,19.2,0.00,19.2
2024-10-31 09:16:00,282.19714,10.902,19.2,0.00,19.2
2024-10-31 09:16:10,292.19231,11.099,19.2,0.00,19.2
2024-10-31 09:16:20,302.55226,11.179,19.2,0.00,19.2
2024-10-31 09:16:30,312.23024,11.200,19.2,0.00,19.2
2024-10-31 09:16:40,322.24192,11.227,19.2,0.00,19.2
2024-10-31 09:16:50,332.25324,11.237,19.3,0.00,19.3
2024-10-31 09:17:00,342.28333,11.240,19.3,0.00,19.3
